0 -30 -0.906579 0.188726
1 -29.5 -0.904595 0.190721
2 -29 -0.90261 0.192682
3 -28.5 -0.900625 0.194608
4 -28 -0.898638 0.196501
5 -27.5 -0.89665 0.19836
6 -27 -0.89466 0.200185
7 -26.5 -0.892668 0.201976
8 -26 -0.890674 0.203733
9 -25.5 -0.888677 0.205455
10 -25 -0.886676 0.207144
11 -24.5 -0.88467 0.208799
12 -24 -0.882659 0.210419
13 -23.5 -0.880642 0.212006
14 -23 -0.878616 0.213559
15 -22.5 -0.876582 0.215077
16 -22 -0.874535 0.216562
17 -21.5 -0.872475 0.218012
18 -21 -0.870398 0.219429
19 -20.5 -0.8683 0.220812
20 -20 -0.866178 0.222162
21 -19.5 -0.864026 0.223478
22 -19 -0.861838 0.224762
23 -18.5 -0.859605 0.226013
24 -18 -0.85732 0.227234
25 -17.5 -0.854971 0.228424
26 -17 -0.852545 0.229588
27 -16.5 -0.850024 0.230727
28 -16 -0.847391 0.231847
29 -15.5 -0.844621 0.232954
30 -15 -0.841686 0.234055
31 -14.5 -0.838551 0.235162
32 -14 -0.835175 0.23629
33 -13.5 -0.831509 0.237457
34 -13 -0.827494 0.238687
35 -12.5 -0.823057 0.240007
36 -12 -0.818113 0.241452
37 -11.5 -0.812561 0.243064
38 -11 -0.806279 0.244886
39 -10.5 -0.799123 0.24697
40 -10 -0.790924 0.24937
41 -9.5 -0.781484 0.252141
42 -9 -0.770569 0.255337
43 -8.5 -0.757914 0.259007
44 -8 -0.74321 0.263191
45 -7.5 -0.726112 0.267913
46 -7 -0.706236 0.27318
47 -6.5 -0.683162 0.278976
48 -6 -0.656447 0.285256
49 -5.5 -0.625637 0.291946
50 -5 -0.590286 0.298941
51 -4.5 -0.549992 0.306105
52 -4 -0.504429 0.313276
53 -3.5 -0.453394 0.320268
54 -3 -0.396851 0.326884
55 -2.5 -0.334979 0.332918
56 -2 -0.268202 0.338173
57 -1.5 -0.197207 0.342467
58 -1 -0.122937 0.345645
59 -0.5 -0.0465467 0.347589
60 0 0.0306634 0.348225
61 0.5 0.107333 0.347529
62 1 0.18214 0.345524
63 1.5 0.253894 0.342286
64 2 0.321605 0.337932
65 2.5 0.384531 0.332617
66 3 0.442194 0.326522
67 3.5 0.494367 0.319846
68 4 0.541045 0.312793
69 4.5 0.582402 0.305562
70 5 0.61874 0.298338
71 5.5 0.65045 0.291283
72 6 0.677971 0.284533
73 6.5 0.701758 0.278192
74 7 0.722258 0.272336
75 7.5 0.739895 0.267009
76 8 0.755063 0.262226
77 8.5 0.768114 0.257983
78 9 0.779364 0.254252
79 9.5 0.789088 0.250995
80 10 0.797525 0.248164
81 10.5 0.804881 0.245704
82 11 0.811331 0.243559
83 11.5 0.817023 0.241677
84 12 0.822083 0.240006
85 12.5 0.826617 0.2385
86 13 0.830713 0.237119
87 13.5 0.834446 0.235829
88 14 0.837877 0.234602
89 14.5 0.841057 0.233414
90 15 0.844031 0.232246
91 15.5 0.846832 0.231085
92 16 0.849492 0.229918
93 16.5 0.852034 0.228738
94 17 0.854478 0.227538
95 17.5 0.856842 0.226314
96 18 0.859139 0.225063
97 18.5 0.861382 0.223783
98 19 0.863578 0.222471
99 19.5 0.865737 0.221127
100 20 0.867865 0.21975
101 20.5 0.869968 0.218341
102 21 0.872049 0.216897
103 21.5 0.874112 0.21542
104 22 0.876161 0.213909
105 22.5 0.878198 0.212364
106 23 0.880225 0.210785
107 23.5 0.882244 0.209172
108 24 0.884256 0.207526
109 24.5 0.886263 0.205845
110 25 0.888265 0.20413
111 25.5 0.890263 0.202381
112 26 0.892258 0.200598
113 26.5 0.89425 0.198781
114 27 0.89624 0.19693
115 27.5 0.898229 0.195044
116 28 0.900216 0.193125
117 28.5 0.902201 0.191172
118 29 0.904186 0.189185
119 29.5 0.90617 0.187164
120 30 0.908153 0.185108
